Table S2: Log2 LFQ data of proteomes of liver and tumor cells. Related to Figure 2.					
					Group
O43715	TP53-regulated inhibitor of apoptosis 1	TRIAP1	O43715	TP53-regulated inhibitor of apoptosis 1	TRIAP1
O43719	HIV Tat-specific factor 1	HTATSF1	O43719;Q5H919;Q5H918	HIV Tat-specific factor 1	HTATSF1
O43741	5-AMP-activated protein kinase subunit beta-2	PRKAB2	O43741;O43741-2	5-AMP-activated protein kinase subunit beta-2	PRKAB2
O43747	AP-1 complex subunit gamma-1	AP1G1	O43747;O43747-2;H3BNR4;H3BR36;H3BUN9;H3BN71;B4DGE1;H3BRM7;H3BS13;H3BV30;H3BN75;H3BNN2;B3KNW1	AP-1 complex subunit gamma-1	AP1G1
O43752	Syntaxin-6	STX6	O43752	Syntaxin-6	STX6
O43760	Synaptogyrin-2	SYNGR2	O43760;O43760-2;K7ELS8;K7ELD9;K7ENG9;K7EJ35	Synaptogyrin-2	SYNGR2
O43765	Small glutamine-rich tetratricopeptide repeat-containing protein alpha	SGTA	O43765;K7EMD6;K7ERW5	Small glutamine-rich tetratricopeptide repeat-containing protein alpha	SGTA
O43772	Mitochondrial carnitine/acylcarnitine carrier protein	SLC25A20	O43772;C9JPE1;F8WEF6	Mitochondrial carnitine/acylcarnitine carrier protein	SLC25A20
O43776	Asparagine--tRNA ligase, cytoplasmic	NARS	O43776;K7EIU7;K7EQ35;O43776-2;K7EJ19;K7EPK2;K7EMQ6	Asparagine--tRNA ligase, cytoplasmic	NARS
O43795-2	Unconventional myosin-Ib	MYO1B	O43795-2	Unconventional myosin-Ib	MYO1B
O43805	Sjoegren syndrome nuclear autoantigen 1	SSNA1	O43805	Sjoegren syndrome nuclear autoantigen 1	SSNA1
O43808	Peroxisomal membrane protein PMP34	SLC25A17	O43808;F6RTR7;B0QYW5;F8WE74;F8WA85;F8WEC6;F2Z2I9;F8WCH6;B1AHN4	Peroxisomal membrane protein PMP34	SLC25A17
O43809	Cleavage and polyadenylation specificity factor subunit 5	NUDT21	O43809;H3BND3;H3BV41	Cleavage and polyadenylation specificity factor subunit 5	NUDT21
O43813	LanC-like protein 1	LANCL1	O43813;E9PHS0;F8WDS9;H7C2E3	LanC-like protein 1	LANCL1
O43815	Striatin	STRN	O43815;O43815-2	Striatin	STRN
O43818	U3 small nucleolar RNA-interacting protein 2	RRP9	O43818	U3 small nucleolar RNA-interacting protein 2	RRP9
O43819	Protein SCO2 homolog, mitochondrial	SCO2	O43819	Protein SCO2 homolog, mitochondrial	SCO2
O43823	A-kinase anchor protein 8	AKAP8	O43823;M0QYL4	A-kinase anchor protein 8	AKAP8
O43824	Putative GTP-binding protein 6	GTPBP6	O43824	Putative GTP-binding protein 6	GTPBP6
U3KPU7	Glucose-6-phosphate translocase	SLC37A4	U3KPU7;U3KQS2;O43826;O43826-2;U3KQL4	Glucose-6-phosphate translocase	SLC37A4
O43852	Calumenin	CALU	O43852;O43852-3;O43852-6;O43852-5;O43852-10;O43852-9;O43852-15;H0Y875;O43852-13;O43852-14;O43852-11;O43852-12	Calumenin	CALU
O43852-2	Calumenin	CALU	O43852-2;O43852-4;O43852-8;O43852-7	Calumenin	CALU
O43865	Putative adenosylhomocysteinase 2	AHCYL1	O43865;O43865-2	Putative adenosylhomocysteinase 2	AHCYL1
O43866	CD5 antigen-like	CD5L	O43866	CD5 antigen-like	CD5L
O43895	Xaa-Pro aminopeptidase 2	XPNPEP2	O43895;Q5JZ40	Xaa-Pro aminopeptidase 2	XPNPEP2
O43896	Kinesin-like protein KIF1C	KIF1C	O43896	Kinesin-like protein KIF1C	KIF1C
O43903	Growth arrest-specific protein 2	GAS2	O43903;E9PRR5;E9PM28;E9PQ74;E9PQ37;O43903-2	Growth arrest-specific protein 2	GAS2
O43913	Origin recognition complex subunit 5	ORC5	O43913;O43913-2;G3V0H0	Origin recognition complex subunit 5	ORC5
O43920	NADH dehydrogenase [ubiquinone] iron-sulfur protein 5	NDUFS5	O43920	NADH dehydrogenase [ubiquinone] iron-sulfur protein 5	NDUFS5
O43924	Retinal rod rhodopsin-sensitive cGMP 3,5-cyclic phosphodiesterase subunit delta	PDE6D	O43924;B8ZZK5;C9IZ52	Retinal rod rhodopsin-sensitive cGMP 3,5-cyclic phosphodiesterase subunit delta	PDE6D
O43927	C-X-C motif chemokine 13	CXCL13	O43927	C-X-C motif chemokine 13	CXCL13
O43929-2	Origin recognition complex subunit 4	ORC4	O43929-2;O43929-3;O43929	Origin recognition complex subunit 4	ORC4
O60216	Double-strand-break repair protein rad21 homolog	RAD21	O60216;E5RFV8;E5RIN7;E5RJW1;E5RJK5;E5RI01;E5RFZ5;E5RG18;Q9H4I0;A0A140T8W2;Q9H4I0-2	Double-strand-break repair protein rad21 homolog	RAD21
O60218	Aldo-keto reductase family 1 member B10	AKR1B10	O60218	Aldo-keto reductase family 1 member B10	AKR1B10
O60220	Mitochondrial import inner membrane translocase subunit Tim8 A	TIMM8A	O60220	Mitochondrial import inner membrane translocase subunit Tim8 A	TIMM8A
O60231	Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16	DHX16	O60231;A0A140T947;Q5SQH5;A0A140T8Y5;A0A140T9T4;A2AB15	Putative pre-mRNA-splicing factor ATP-dependent RNA helicase DHX16	DHX16
O60234	Glia maturation factor gamma	GMFG	O60234;M0QYJ8;M0R0C1;M0QXC2;M0QX47;M0QXZ6;M0R2P2	Glia maturation factor gamma	GMFG
O60240	Perilipin-1	PLIN1	O60240;H0YM16	Perilipin-1	PLIN1
O60244	Mediator of RNA polymerase II transcription subunit 14	MED14	O60244;H7C3E5;H7C017	Mediator of RNA polymerase II transcription subunit 14	MED14
O60256	Phosphoribosyl pyrophosphate synthase-associated protein 2	PRPSAP2	O60256;O60256-3;O60256-2;E7EPA1;O60256-4;C9K0K7;C9JDU5;C9JJS3;C9JDH0;E7EW35;I3L0S1;I3L331;I3L164;I3L4G9;I3L3B8;I3L2J4;I3L1T1	Phosphoribosyl pyrophosphate synthase-associated protein 2	PRPSAP2
O60262	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-7	GNG7	O60262;K7ESC6	Guanine nucleotide-binding protein G(I)/G(S)/G(O) subunit gamma-7;Guanine nucleotide-binding protein subunit gamma	GNG7
O60264	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5	SMARCA5	O60264	SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A member 5	SMARCA5
O60271-4	C-Jun-amino-terminal kinase-interacting protein 4	SPAG9	O60271-4;A0A087X2D8;O60271-2;O60271;O60271-9;O60271-5;O60271-3;H0YBE9;E9PFH7;A0A087WYG2;Q9UPT6;H0YBS5;Q9UPT6-2;H0Y981;D6RHI8	C-Jun-amino-terminal kinase-interacting protein 4	SPAG9
O60287	Nucleolar pre-ribosomal-associated protein 1	URB1	O60287	Nucleolar pre-ribosomal-associated protein 1	URB1
O60306	Intron-binding protein aquarius	AQR	O60306;H0YH15;H0YLN9	Intron-binding protein aquarius	AQR
O60307	Microtubule-associated serine/threonine-protein kinase 3	MAST3	O60307;V9GXZ1	Microtubule-associated serine/threonine-protein kinase 3	MAST3;MAST2
O60313-2	Dynamin-like 120 kDa protein, mitochondrial	OPA1	O60313-2;O60313-10;O60313;O60313-11;O60313-9;E5KLJ9;A0A2R8YDM2;A0A2R8Y3X5;O60313-13;C9JMB8;A0A2R8YE78;A0A2R8YFD1;A0A2R8YGE5;A0A2R8YD53;A0A2R8Y4Q3;A0A2R8Y4G4;A0A2R8YE54;H7C141;A0A2R8Y5G3;C9JY58;H7C321;A0A2R8Y5E2;H7C3G2	Dynamin-like 120 kDa protein, mitochondrial;Dynamin-like 120 kDa protein, form S1	OPA1
O60331-4	Phosphatidylinositol 4-phosphate 5-kinase type-1 gamma	PIP5K1C	O60331-4;O60331;O60331-2;O60331-3	Phosphatidylinositol 4-phosphate 5-kinase type-1 gamma	PIP5K1C
O60337-5	E3 ubiquitin-protein ligase MARCH6	45722	O60337-5;O60337;O60337-6;D6RHY7;A0A0B4J206	E3 ubiquitin-protein ligase MARCH6	Mar-06
R4GMQ1	Lysine-specific histone demethylase 1A	KDM1A	R4GMQ1;O60341;O60341-2;R4GMP9	Lysine-specific histone demethylase 1A	KDM1A
O60343	TBC1 domain family member 4	TBC1D4	O60343;O60343-2;O60343-3;A0A3B3IRT3;O60343-4;O60343-5;Q5JU47	TBC1 domain family member 4	TBC1D4
O60361	Putative nucleoside diphosphate kinase	NME2P1	O60361	Putative nucleoside diphosphate kinase	NME2P1
O60443	Non-syndromic hearing impairment protein 5	DFNA5	O60443;C9JSR4;O60443-3;H7C147;O60443-2;H7BZJ0	Non-syndromic hearing impairment protein 5	DFNA5
O60447	Ecotropic viral integration site 5 protein homolog	EVI5	O60447;O60447-2	Ecotropic viral integration site 5 protein homolog	EVI5
O60449-2	Lymphocyte antigen 75	LY75	O60449-2;O60449-3;O60449;Q8IX05;A0A087WT00;Q8IX05-2	Lymphocyte antigen 75	LY75
O60476	Mannosyl-oligosaccharide 1,2-alpha-mannosidase IB	MAN1A2	O60476;H0Y543;H0Y7H1;Q5T9E3	Mannosyl-oligosaccharide 1,2-alpha-mannosidase IB	MAN1A2
O60486	Plexin-C1	PLXNC1	O60486;B4DHQ7;F8W1K6;F8VUW4	Plexin-C1	PLXNC1
O60488-2	Long-chain-fatty-acid--CoA ligase 4	ACSL4	O60488-2;O60488;D6RF95;H0Y9A0;D6RD96;D6RFW9;D6RDA8	Long-chain-fatty-acid--CoA ligase 4	ACSL4
O60493	Sorting nexin-3	SNX3	O60493;O60493-2;O60493-4;O60493-3	Sorting nexin-3	SNX3
O60496	Docking protein 2	DOK2	O60496;E5RJ11;G3V114;E5RIG9	Docking protein 2	DOK2
X6R2W0	Syntaxin-10	STX10	X6R2W0;Q5U8S2;O60499;K7ELY2;K7EIY4;O60499-2;F6RTM7;K7EK75;K7EJ05;K7EQ84;K7EPP9	Syntaxin-10	STX10
O60502-4	Protein O-GlcNAcase	MGEA5	O60502-4;O60502;O60502-2;O60502-3;H7C3X0	Protein O-GlcNAcase	MGEA5
O60504	Vinexin	SORBS3	O60504;O60504-2;H0YB51;E5RJP2;H0YAZ3;E7EQH0;E5RIA0;H0YAU6	Vinexin	SORBS3
O60506	Heterogeneous nuclear ribonucleoprotein Q	SYNCRIP	O60506;O60506-2;F6UXX1	Heterogeneous nuclear ribonucleoprotein Q	SYNCRIP
O60506-3	Heterogeneous nuclear ribonucleoprotein Q	SYNCRIP	O60506-3;O60506-4;B7Z645;O60506-5;H0YAA0	Heterogeneous nuclear ribonucleoprotein Q	SYNCRIP
O60507	Protein-tyrosine sulfotransferase 1	TPST1	O60507;C9J3I4	Protein-tyrosine sulfotransferase 1	TPST1
O60508	Pre-mRNA-processing factor 17	CDC40	O60508;Q5SRN1	Pre-mRNA-processing factor 17	CDC40
O60518	Ran-binding protein 6	RANBP6	O60518;A0A096LPA6	Ran-binding protein 6	RANBP6
O60524-4	Nuclear export mediator factor NEMF	NEMF	O60524-4;O60524-3;O60524;G3V5V3;O60524-5;O60524-2;G3V547;G3V4D9	Nuclear export mediator factor NEMF	NEMF
O60547-2	GDP-mannose 4,6 dehydratase	GMDS	O60547-2;O60547	GDP-mannose 4,6 dehydratase	GMDS
Q5VUC6	Glycylpeptide N-tetradecanoyltransferase	NMT2	Q5VUC6;O60551	Glycylpeptide N-tetradecanoyltransferase;Glycylpeptide N-tetradecanoyltransferase 2	NMT2
O60563	Cyclin-T1	CCNT1	O60563;C9JUL2;H7BZ27;A0A1W2PQ16;O60563-2	Cyclin-T1	CCNT1
O60565	Gremlin-1	GREM1	O60565;O60565-2	Gremlin-1	GREM1
O60568	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3	PLOD3	O60568;H7C2V1;H7C2S8;C9JU11;H7C0B8;H7C2A8;C9JIX5	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3	PLOD3
O60573	Eukaryotic translation initiation factor 4E type 2	EIF4E2	O60573;C9JEL3;B9A044;B8ZZ50;O60573-2;B8ZZL3;B4E1E4;B9A023	Eukaryotic translation initiation factor 4E type 2	EIF4E2
O60603	Toll-like receptor 2	TLR2	O60603;A0A0S2Z4L7;A0A2R8Y4N9	Toll-like receptor 2	TLR2
O60645	Exocyst complex component 3	EXOC3	O60645;D6RB59;H0Y995;D6RBR9	Exocyst complex component 3	EXOC3
O60656	UDP-glucuronosyltransferase 1-9	UGT1A9	O60656;O60656-2	UDP-glucuronosyltransferase 1-9	UGT1A9
O60658-6	High affinity cAMP-specific and IBMX-insensitive 3,5-cyclic phosphodiesterase 8A	PDE8A	O60658-6;O60658-2;O60658	High affinity cAMP-specific and IBMX-insensitive 3,5-cyclic phosphodiesterase 8A	PDE8A
O60664-4	Perilipin-3	PLIN3	O60664-4;O60664;O60664-3;K7ERZ3;K7EL96;K7ER39;K7EJD0	Perilipin-3	PLIN3
O60669	Monocarboxylate transporter 2	SLC16A7	O60669;F8W0N3;F8W0U4;F8VXG4;F8VYZ2;F8VVU7;F8VQS4;F8VS95;F8W1M4	Monocarboxylate transporter 2	SLC16A7
O60678	Protein arginine N-methyltransferase 3	PRMT3	O60678;O60678-2	Protein arginine N-methyltransferase 3	PRMT3
O60684	Importin subunit alpha-7	KPNA6	O60684;Q5TFJ7;S4R3E5	Importin subunit alpha-7	KPNA6
O60687	Sushi repeat-containing protein SRPX2	SRPX2	O60687;A0A1W2PR88;A0A1W2PNZ6;A0A1W2PRB1	Sushi repeat-containing protein SRPX2	SRPX2
O60701	UDP-glucose 6-dehydrogenase	UGDH	O60701;O60701-3;O60701-2;E7ETF4;E7EV97;E7ER83;E7ER95;D6RHF4;E9PBD2	UDP-glucose 6-dehydrogenase	UGDH
O60704	Protein-tyrosine sulfotransferase 2	TPST2	O60704;B1AHJ5;B1AHJ7;B1AHJ6	Protein-tyrosine sulfotransferase 2	TPST2
O60711	Leupaxin	LPXN	O60711;O60711-2;B7Z5P7;E9PNX9	Leupaxin	LPXN
O60725	Protein-S-isoprenylcysteine O-methyltransferase	ICMT	O60725;K7EQW0;Q7Z750	Protein-S-isoprenylcysteine O-methyltransferase	ICMT
O60749	Sorting nexin-2	SNX2	O60749;D6RC15	Sorting nexin-2	SNX2
O60749-2	Sorting nexin-2	SNX2	O60749-2	Sorting nexin-2	SNX2
O60760	Hematopoietic prostaglandin D synthase	HPGDS	O60760	Hematopoietic prostaglandin D synthase	HPGDS
O60763	General vesicular transport factor p115	USO1	O60763;O60763-2;REV__R4GMN2	General vesicular transport factor p115	USO1
O60783	28S ribosomal protein S14, mitochondrial	MRPS14	O60783	28S ribosomal protein S14, mitochondrial	MRPS14
O60784	Target of Myb protein 1	TOM1	O60784;O60784-2;O60784-4;O60784-3;B0QY01;V9GYF4;B0QY02;Q6UW50;V9GZ68;H7BYN7;F8WB30;F8WAW7;F8WE29;F8WBB0	Target of Myb protein 1	TOM1
O60825	6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2	PFKFB2	O60825;O60825-2;F6RAZ1	6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2;6-phosphofructo-2-kinase;Fructose-2,6-bisphosphatase	PFKFB2
O60826	Coiled-coil domain-containing protein 22	CCDC22	O60826	Coiled-coil domain-containing protein 22	CCDC22
O60828-5	Polyglutamine-binding protein 1	PQBP1	O60828-5;O60828-4;O60828-2;O60828;H7C053;O60828-10;O60828-9;O60828-8;O60828-7;O60828-6;O60828-3	Polyglutamine-binding protein 1	PQBP1
O60829	P antigen family member 4	PAGE4	O60829	P antigen family member 4	PAGE4
O60830	Mitochondrial import inner membrane translocase subunit Tim17-B	TIMM17B	O60830;O60830-2;V9GYS0;V9GYU0;V9GYK7	Mitochondrial import inner membrane translocase subunit Tim17-B	TIMM17B
O60831	PRA1 family protein 2	PRAF2	O60831;A6NP52	PRA1 family protein 2	PRAF2
O60832	H/ACA ribonucleoprotein complex subunit 4	DKC1	O60832;O60832-2;C9IYT0;H7C0M1;H7C2Q9;H7C2Q2;H7BZF2	H/ACA ribonucleoprotein complex subunit 4	DKC1
O60844	Zymogen granule membrane protein 16	ZG16	O60844	Zymogen granule membrane protein 16	ZG16
O60869-2	Endothelial differentiation-related factor 1	EDF1	O60869-2;O60869-3;O60869	Endothelial differentiation-related factor 1	EDF1
O60870-2	DNA/RNA-binding protein KIN17	KIN	O60870-2;O60870	DNA/RNA-binding protein KIN17	KIN
O60880-4	SH2 domain-containing protein 1A	SH2D1A	O60880-4;O60880;A0A2R8Y573;O60880-3;O60880-6;O60880-2;O60880-5	SH2 domain-containing protein 1A	SH2D1A
O60884	DnaJ homolog subfamily A member 2	DNAJA2	O60884;A0A087WT48;I3L320	DnaJ homolog subfamily A member 2	DNAJA2
O60885	Bromodomain-containing protein 4	BRD4	O60885;O60885-2;O60885-3;M0QZD9	Bromodomain-containing protein 4	BRD4
O60888-3	Protein CutA	CUTA	O60888-3;C9IZG4;O60888;O60888-2;C9IZQ5	Protein CutA	CUTA
O60895	Receptor activity-modifying protein 2	RAMP2	O60895;O60895-2	Receptor activity-modifying protein 2	RAMP2
O60921-2	Checkpoint protein HUS1	HUS1	O60921-2;O60921;H7C272;C9JA95;F8WAW9;C9JCK8	Checkpoint protein HUS1	HUS1
O60927	Protein phosphatase 1 regulatory subunit 11	PPP1R11	O60927;Q5SRK2	Protein phosphatase 1 regulatory subunit 11	PPP1R11
O60934	Nibrin	NBN	O60934;A0A0C4DG07;E5RGU1;E5RGR7;E2QRP0;E5RGN7;A0A087X1V5	Nibrin	NBN
O60942-3	mRNA-capping enzyme	RNGTT	O60942-3;O60942-4;O60942-2;O60942	mRNA-capping enzyme;Polynucleotide 5-triphosphatase;mRNA guanylyltransferase	RNGTT
O75027	ATP-binding cassette sub-family B member 7, mitochondrial	ABCB7	O75027;O75027-2;B4DGL8;A0A087WW65;O75027-3;A0A2R8Y473;E9PJR8;A0A2R8YF35;A0A2R8Y3N2;E9PNQ5	ATP-binding cassette sub-family B member 7, mitochondrial	ABCB7
O75052-3	Carboxyl-terminal PDZ ligand of neuronal nitric oxide synthase protein	NOS1AP	O75052-3;O75052;E9PSG0;O75052-2	Carboxyl-terminal PDZ ligand of neuronal nitric oxide synthase protein	NOS1AP
O75063	Glycosaminoglycan xylosylkinase	FAM20B	O75063;X6RH03	Glycosaminoglycan xylosylkinase	FAM20B
O75083	WD repeat-containing protein 1	WDR1	O75083;O75083-3;D6RD66	WD repeat-containing protein 1	WDR1
O75095	Multiple epidermal growth factor-like domains protein 6	MEGF6	O75095;H7C557;H7C5N9	Multiple epidermal growth factor-like domains protein 6	MEGF6
O75095-2	Multiple epidermal growth factor-like domains protein 6	MEGF6	O75095-2	Multiple epidermal growth factor-like domains protein 6	MEGF6
O75110	Probable phospholipid-transporting ATPase IIA	ATP9A	O75110;A0A0A0MR22;O75110-2;O43861-2;O43861	Probable phospholipid-transporting ATPase IIA;Phospholipid-transporting ATPase	ATP9A
O75112-3	LIM domain-binding protein 3	LDB3	O75112-3;O75112-2;O75112;O75112-7;A0A0C4DGG7;O75112-6;O75112-5;O75112-4	LIM domain-binding protein 3	LDB3
O75116	Rho-associated protein kinase 2	ROCK2	O75116;E9PF63;Q14DU5;D6REE7;C9JFJ0	Rho-associated protein kinase 2	ROCK2
O75131	Copine-3	CPNE3	O75131;A0A087WYQ3;H0YB26;E5RHZ0;A0A087WXR6;A0A087WUS8;E5RFT7;Q9HCH3-2;Q96A23;O95741;Q9UBL6-2;Q96A23-2;O95741-2;Q9UBL6	Copine-3	CPNE3
O75146	Huntingtin-interacting protein 1-related protein	HIP1R	O75146;O75146-2;H0YH66	Huntingtin-interacting protein 1-related protein	HIP1R
O75150	E3 ubiquitin-protein ligase BRE1B	RNF40	O75150;H3BP71;O75150-4;O75150-3;H3BS50;H3BQ99;H3BUL6;A0A087WTK2	E3 ubiquitin-protein ligase BRE1B	RNF40
O75151	Lysine-specific demethylase PHF2	PHF2	O75151;E7ET14;A0A087WW48	Lysine-specific demethylase PHF2	PHF2
O75152	Zinc finger CCCH domain-containing protein 11A	ZC3H11A	O75152;E9PQ61;E9PBY7;A0A1W2PPR9	Zinc finger CCCH domain-containing protein 11A	ZC3H11A
O75153	Clustered mitochondria protein homolog	CLUH	O75153	Clustered mitochondria protein homolog	CLUH
O75165	DnaJ homolog subfamily C member 13	DNAJC13	O75165;A0A3B3IRM0;H0Y8Q2;H0YA63	DnaJ homolog subfamily C member 13	DNAJC13
O75170-6	Serine/threonine-protein phosphatase 6 regulatory subunit 2	PPP6R2	O75170-6;O75170-2;O75170-4;O75170-3;O75170-5;O75170;T1ECW5;A0A0A0MSJ8	Serine/threonine-protein phosphatase 6 regulatory subunit 2	PPP6R2
O75173	A disintegrin and metalloproteinase with thrombospondin motifs 4	ADAMTS4	O75173;Q5VTW1;O75173-2	A disintegrin and metalloproteinase with thrombospondin motifs 4	ADAMTS4
O75175	CCR4-NOT transcription complex subunit 3	CNOT3	O75175;H7C5J4;A0A0G2JPP0	CCR4-NOT transcription complex subunit 3	CNOT3
O75177	Calcium-responsive transactivator	SS18L1	O75177	Calcium-responsive transactivator	SS18L1
O75190	DnaJ homolog subfamily B member 6	DNAJB6	O75190;A0A0J9YX62;O75190-3;E9PH18;C9J2C4;O75190-2;O75190-4;C9JDR7;C9JDX6;F8WCZ4;C9J2P2;C9JB42;C9JN01;Q8NHS0;Q8WWF6	DnaJ homolog subfamily B member 6	DNAJB6
O75191	Xylulose kinase	XYLB	O75191;A0A3B3IRM4;O75191-2;A0A3B3IS07;F8WBF6;C9J0N9	Xylulose kinase	XYLB
O75192	Peroxisomal membrane protein 11A	PEX11A	O75192;O75192-2;H0YMC7;H0YN61	Peroxisomal membrane protein 11A	PEX11A
O75208	Ubiquinone biosynthesis protein COQ9, mitochondrial	COQ9	O75208;H3BNT2;H3BSJ5;H3BPY0;H3BPC6;H3BRC0;H3BPW3;H3BVA5;O75208-2	Ubiquinone biosynthesis protein COQ9, mitochondrial	COQ9
O75223	Gamma-glutamylcyclotransferase	GGCT	O75223;M0QZK8;B8ZZK2;H7BZK5;O75223-3;O75223-2;O75223-4;A0A0B4J1Y4	Gamma-glutamylcyclotransferase	GGCT
O75251	NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial	NDUFS7	O75251;F5H5N1;A0A087WXF6;A0A087WTI3;F5GXJ1;O75251-2	NADH dehydrogenase [ubiquinone] iron-sulfur protein 7, mitochondrial	NDUFS7
O75298	Reticulon-2	RTN2	O75298;K7EMR7;Q7RTN0;O75298-3;O75298-2;Q96CG9	Reticulon-2;Reticulon	RTN2
O75306	NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial	NDUFS2	O75306;O75306-2	NADH dehydrogenase [ubiquinone] iron-sulfur protein 2, mitochondrial	NDUFS2
O75310	UDP-glucuronosyltransferase 2B11	UGT2B11	O75310	UDP-glucuronosyltransferase 2B11	UGT2B11
O75312	Zinc finger protein ZPR1	ZPR1	O75312;H7C0E5;H7BZM7;H7C449	Zinc finger protein ZPR1	ZPR1
O75323	Protein NipSnap homolog 2	GBAS	O75323;O75323-2;H7C333;C9K068;C9J7B1;F8WBI5	Protein NipSnap homolog 2	GBAS
O75340	Programmed cell death protein 6	PDCD6	O75340;O75340-2;A0A024QZ42;H0Y9X3;A0A087WZ38	Programmed cell death protein 6	PDCD6
O75342	Arachidonate 12-lipoxygenase, 12R-type	ALOX12B	O75342;A0A3B3IRK2	Arachidonate 12-lipoxygenase, 12R-type	ALOX12B
O75348	V-type proton ATPase subunit G 1	ATP6V1G1	O75348;F2Z307;O95670-2;O95670	V-type proton ATPase subunit G 1	ATP6V1G1
O75351	Vacuolar protein sorting-associated protein 4B	VPS4B	O75351;K7EL71;K7EKZ3;Q6PIW4-2;Q6PIW4	Vacuolar protein sorting-associated protein 4B	VPS4B
O75356	Ectonucleoside triphosphate diphosphohydrolase 5	ENTPD5	O75356;G3V4I0;G3V450;H0YJH1;G3V3Y0;REV__Q8N2N9-4;REV__A0A1W2PS33;REV__A0A087X037;REV__E9PJI0;REV__Q5VUR7;REV__Q5TYW2;REV__Q5SQ80;REV__Q5CZ79;REV__Q4UJ75;REV__A0A494C151	Ectonucleoside triphosphate diphosphohydrolase 5	ENTPD5
O75365-2	Protein tyrosine phosphatase type IVA 3	PTP4A3	O75365-2;O75365;E5RGR3;O75365-3	Protein tyrosine phosphatase type IVA 3	PTP4A3
O75366	Advillin	AVIL	O75366;O75366-2;F8VVU1	Advillin	AVIL
O75367-3	Core histone macro-H2A.1	H2AFY	O75367-3;O75367;B4DJC3;D6RCF2	Core histone macro-H2A.1;Histone H2A	H2AFY
O75367-2	Core histone macro-H2A.1	H2AFY	O75367-2	Core histone macro-H2A.1	H2AFY
O75368	SH3 domain-binding glutamic acid-rich-like protein	SH3BGRL	O75368	SH3 domain-binding glutamic acid-rich-like protein	SH3BGRL
O75369-2	Filamin-B	FLNB	O75369-2;O75369-9;O75369;O75369-6;O75369-3;E7EN95;O75369-7;O75369-5;O75369-4;H7C5L4;A0A0C4DGA1	Filamin-B	FLNB
O75369-8	Filamin-B	FLNB	O75369-8	Filamin-B	FLNB
O75376-2	Nuclear receptor corepressor 1	NCOR1	O75376-2;O75376;A0A088AWL3;E7EVU5;E7EW50;J3KS51;O75376-3;H7C1Y3	Nuclear receptor corepressor 1	NCOR1
O75379-2	Vesicle-associated membrane protein 4	VAMP4	O75379-2;O75379	Vesicle-associated membrane protein 4	VAMP4
O75380	NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial	NDUFS6	O75380;D6RBT3	NADH dehydrogenase [ubiquinone] iron-sulfur protein 6, mitochondrial	NDUFS6
O75381	Peroxisomal membrane protein PEX14	PEX14	O75381;O75381-2;K7EK59	Peroxisomal membrane protein PEX14	PEX14
O75382	Tripartite motif-containing protein 3	TRIM3	O75382;O75382-2;A0A1W2PPI7;O75382-3;E9PMK8;Q9C040;Q9C040-2;E9PMW5;A0A0J9YY97;A0A0J9YW70;C9JVI3;A0A0J9YX34	Tripartite motif-containing protein 3	TRIM3
O75387	Large neutral amino acids transporter small subunit 3	SLC43A1	O75387;O75387-2;E9PJ68;E9PRF0;E9PJT8;E9PR87	Large neutral amino acids transporter small subunit 3	SLC43A1
O75391	Sperm-associated antigen 7	SPAG7	O75391;I3L0X5;I3L4C3;I3L0Q5	Sperm-associated antigen 7	SPAG7
O75394	39S ribosomal protein L33, mitochondrial	MRPL33	O75394	39S ribosomal protein L33, mitochondrial	MRPL33
O75396	Vesicle-trafficking protein SEC22b	SEC22B	O75396;A0A087X1A9	Vesicle-trafficking protein SEC22b	SEC22B
O75400-3	Pre-mRNA-processing factor 40 homolog A	PRPF40A	O75400-3;H0YG38	Pre-mRNA-processing factor 40 homolog A	PRPF40A
O75410-2	Transforming acidic coiled-coil-containing protein 1	TACC1	O75410-2;O75410;O75410-9;O75410-7;O75410-3;E7ET87;E7EVI4;H0YAY0;O75410-6;O75410-4;O75410-5;O75410-10;H0YBT8;B4E3H6;E5RFM9;O75410-8;E5RJU4	Transforming acidic coiled-coil-containing protein 1	TACC1
O75427	Leucine-rich repeat and calponin homology domain-containing protein 4	LRCH4	O75427;A0A087X197;H7C5D9;C9JYK0	Leucine-rich repeat and calponin homology domain-containing protein 4	LRCH4
O75431	Metaxin-2	MTX2	O75431;O75431-2;C9JNK6;C9JAZ1;F8WE26	Metaxin-2	MTX2
O75436	Vacuolar protein sorting-associated protein 26A	VPS26A	O75436;O75436-2;S4R3Q6;S4R2Y3	Vacuolar protein sorting-associated protein 26A	VPS26A
